technology,parameter,year,value,unit,source,further description
CCGT,investment,2040,815.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","05 Gas turb. CC, steam extract.:  Nominal investment"
CCGT,lifetime,2040,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","05 Gas turb. CC, steam extract.:  Technical lifetime"
CH4 (g) fill compressor station,FOM,2040,1.7,%/year,Assume same as for H2 (g) fill compressor station.,
CH4 (g) fill compressor station,investment,2040,1498.95,EUR/MW_CH4,"Guesstimate, based on H2 (g) pipeline and fill compressor station cost.",
CH4 (g) fill compressor station,lifetime,2040,20.0,years,Assume same as for H2 (g) fill compressor station.,
CH4 (g) pipeline,FOM,2040,1.5,%/year,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,
CH4 (g) pipeline,investment,2040,79.0,EUR/MW/km,Guesstimate.,
CH4 (g) pipeline,lifetime,2040,50.0,years,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,
CH4 (g) submarine pipeline,FOM,2040,3.0,%/year,"d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",
CH4 (g) submarine pipeline,investment,2040,114.89,EUR/MW/km,Kaiser (2017): 10.1016/j.marpol.2017.05.003 .,
CH4 (g) submarine pipeline,lifetime,2040,30.0,years,"d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",
CH4 (l) transport ship,FOM,2040,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 (l) transport ship,capacity,2040,58300.0,t_CH4,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 (l) transport ship,investment,2040,151000000.0,EUR,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 (l) transport ship,lifetime,2040,25.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 evaporation,FOM,2040,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 evaporation,investment,2040,0.28,EUR/kW_CH4,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 evaporation,lifetime,2040,30.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,FOM,2040,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,investment,2040,0.74,EUR/kW_CH4,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,lifetime,2040,25.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CO2 liquefaction,FOM,2040,5.0,%/year,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,
CO2 liquefaction,investment,2040,16.03,EUR/t_CO2/h,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,
CO2 liquefaction,lifetime,2040,25.0,years,"Guesstimate, based on CH4 liquefaction.",
CO2 pipeline,FOM,2040,0.9,%/year,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
CO2 pipeline,investment,2040,2000.0,EUR/(tCO2/h)/km,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
CO2 pipeline,lifetime,2040,50.0,years,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
CO2 storage tank,FOM,2040,1.0,%/year,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 .",
CO2 storage tank,investment,2040,2528.17,EUR/t_CO2,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, Table 3.",
CO2 storage tank,lifetime,2040,25.0,years,"Lauri et al. 2014: doi: 10.1016/j.egypro.2014.11.297, pg. 2746 .",
CO2 submarine pipeline,FOM,2040,0.5,%/year,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
CO2 submarine pipeline,investment,2040,4000.0,EUR/(tCO2/h)/km,"Danish Energy Agency, Technology Data for Energy Transport (March 2021), Excel datasheet: 121 co2 pipeline.",
FT fuel transport ship,FOM,2040,5.0,%/year,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
FT fuel transport ship,capacity,2040,75000.0,t_FTfuel,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
FT fuel transport ship,investment,2040,31700578.34,EUR,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
FT fuel transport ship,lifetime,2040,15.0,years,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
Fischer-Tropsch,FOM,2040,3.0,%/year,doi:10.3390/su9020306, from old pypsa cost assumptions
Fischer-Tropsch,VOM,2040,3.2,EUR/MWh_FT,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",102 Hydrogen to Jet:  Variable O&M
Fischer-Tropsch,efficiency,2040,0.73,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","102 Hydrogen to Jet:  FT Liquids Output, MWh/MWh Total Input"
Fischer-Tropsch,investment,2040,1100.0,EUR/kW_FT/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",102 Hydrogen to Jet:  Specific investment
Fischer-Tropsch,lifetime,2040,25.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",102 Hydrogen to Jet:  Technical lifetime
Gasnetz,FOM,2040,2.5,%,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz
Gasnetz,investment,2040,28.0,EUR/kWGas,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz
Gasnetz,lifetime,2040,30.0,years,"WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSEM, Anhang zur Studie, Fraunhofer-Institut für Solare Energiesysteme ISE, Freiburg",Gasnetz
General liquid hydrocarbon storage (crude),FOM,2040,6.25,%/year,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 .",
General liquid hydrocarbon storage (crude),investment,2040,135.83,EUR/m^3,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F .",
General liquid hydrocarbon storage (crude),lifetime,2040,30.0,years,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11.",
General liquid hydrocarbon storage (product),FOM,2040,6.25,%/year,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , figure 7 and pg. 12 .",
General liquid hydrocarbon storage (product),investment,2040,169.79,EUR/m^3,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 8F .",
General liquid hydrocarbon storage (product),lifetime,2040,30.0,years,"Stelter and Nishida 2013: https://webstore.iea.org/insights-series-2013-focus-on-energy-security , pg. 11.",
H2 (g) fill compressor station,FOM,2040,1.7,%/year,"Guidehouse 2020: European Hydrogen Backbone report, https://guidehouse.com/-/media/www/site/downloads/energy/2020/gh_european-hydrogen-backbone_report.pdf (table 3, table 5)",
H2 (g) fill compressor station,investment,2040,4478.0,EUR/MW_H2,"Danish Energy Agency, Technology Data for Energy Transport (2021), pg. 164, Figure 14 (Fill compressor).",
H2 (g) fill compressor station,lifetime,2040,20.0,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), pg. 168, Figure 24 (Fill compressor).",
H2 (g) pipeline,FOM,2040,2.33,%/year,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",
H2 (g) pipeline,investment,2040,236.0,EUR/MW/km,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",
H2 (g) pipeline,lifetime,2040,50.0,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",
H2 (g) pipeline repurposed,FOM,2040,2.33,%/year,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",
H2 (g) pipeline repurposed,investment,2040,42.9,EUR/MW/km,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140; European Hydrogen Backbone, Analysing future demand, supply, and transport of hydrogen (June 2021): https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021.pdf.",
H2 (g) pipeline repurposed,lifetime,2040,50.0,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",
H2 (g) submarine pipeline,FOM,2040,3.0,%/year,Assume same as for CH4 (g) submarine pipeline.,
H2 (g) submarine pipeline,investment,2040,310.88,EUR/MW/km,"Assume similar cost as for CH4 (g) submarine pipeline but with the same factor as between onland CH4 (g) pipeline and H2 (g) pipeline (2.7). This estimate is comparable to a 36in diameter pipeline calaculated based on d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material (=251 EUR/MW/km).",
H2 (g) submarine pipeline,lifetime,2040,30.0,years,Assume same as for CH4 (g) submarine pipeline.,
H2 (l) storage tank,FOM,2040,2.0,%/year,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.",
H2 (l) storage tank,investment,2040,750.08,EUR/MWh_H2,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.",
H2 (l) storage tank,lifetime,2040,20.0,years,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.",
H2 (l) transport ship,FOM,2040,4.0,%/year,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,capacity,2040,11000.0,t_H2,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,investment,2040,361223561.58,EUR,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,lifetime,2040,20.0,years,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 evaporation,FOM,2040,3.0,%/year,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0.",
H2 evaporation,investment,2040,4320.43,EUR/MW_H2,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0.",
H2 evaporation,lifetime,2040,10.0,years,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0.",
H2 liquefaction,FOM,2040,8.0,%/year,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0.",
H2 liquefaction,investment,2040,1497967.32,EUR/MW_H2,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0.",
H2 liquefaction,lifetime,2040,20.0,years,"Reuß et al 2017: https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9 and equation in sec 3.0.",
H2 pipeline,FOM,2040,3.0,%/year,TODO, from old pypsa cost assumptions
H2 pipeline,investment,2040,267.0,EUR/MW/km,Welder et al https://doi.org/10.1016/j.energy.2018.05.059, from old pypsa cost assumptions
H2 pipeline,lifetime,2040,40.0,years,TODO, from old pypsa cost assumptions
HVAC overhead,FOM,2040,2.0,%/year,Hagspiel, from old pypsa cost assumptions
HVAC overhead,investment,2040,400.0,EUR/MW/km,Hagspiel, from old pypsa cost assumptions
HVAC overhead,lifetime,2040,40.0,years,Hagspiel, from old pypsa cost assumptions
HVDC inverter pair,FOM,2040,2.0,%/year,Hagspiel, from old pypsa cost assumptions
HVDC inverter pair,investment,2040,150000.0,EUR/MW,Hagspiel, from old pypsa cost assumptions
HVDC inverter pair,lifetime,2040,40.0,years,Hagspiel, from old pypsa cost assumptions
HVDC overhead,FOM,2040,2.0,%/year,Hagspiel, from old pypsa cost assumptions
HVDC overhead,investment,2040,400.0,EUR/MW/km,Hagspiel, from old pypsa cost assumptions
HVDC overhead,lifetime,2040,40.0,years,Hagspiel, from old pypsa cost assumptions
HVDC submarine,FOM,2040,0.35,%/year,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .,
HVDC submarine,investment,2040,471.16,EUR/MW/km,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .,
HVDC submarine,lifetime,2040,40.0,years,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .,
Haber-Bosch synthesis,FOM,2040,4.0,%/year,"Estimate, based on methanation plant.",
Haber-Bosch synthesis,investment,2040,5310107.51,EUR/MW,"Calculated based on Morgan E. 2013: doi:10.7275/11KT-3F59 , Fig. 56, Fig. 58, pg. 207, pg. 210.",
Haber-Bosch synthesis,lifetime,2040,20.0,years,"Morgan E. 2013: doi:10.7275/11KT-3F59 , pg. 290",
IC gas,FOM,2040,1.02,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","06 Gas engines, natural gas:  Fixed O&M"
IC gas,VOM,2040,5.0,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","06 Gas engines, natural gas:  Variable O&M"
IC gas,c_b,2040,1.02,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","06 Gas engines, natural gas:  Cb coefficient"
IC gas,efficiency,2040,0.48,per unit,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","06 Gas engines, natural gas:  Electricity efficiency, annual average"
IC gas,investment,2040,875.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","06 Gas engines, natural gas:  Nominal investment"
IC gas,lifetime,2040,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","06 Gas engines, natural gas:  Technical lifetime"
IC oil,FOM,2040,2.44,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",50 Diesel engine farm:  Fixed O&M
IC oil,VOM,2040,6.0,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",50 Diesel engine farm:  Variable O&M
IC oil,efficiency,2040,0.35,per unit,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","50 Diesel engine farm:  Electricity efficiency, annual average"
IC oil,investment,2040,339.5,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",50 Diesel engine farm:  Specific investment
IC oil,lifetime,2040,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",50 Diesel engine farm:  Technical lifetime
LNG storage tank,FOM,2040,2.0,%/year,"Guesstimate, based on H2 (l) storage tank with comparable requirements.",
LNG storage tank,investment,2040,611.59,EUR/m^3,"Hurskainen 2019, https://cris.vtt.fi/en/publications/liquid-organic-hydrogen-carriers-lohc-concept-evaluation-and-tech pg. 46 (59).",
LNG storage tank,lifetime,2040,20.0,years,"Guesstimate, based on H2 (l) storage tank with comparable requirements.",
LOHC chemical,investment,2040,2264.33,EUR/t,"Runge et al 2020, pg.7, https://papers.ssrn.com/abstract=3623514",
LOHC chemical,lifetime,2040,20.0,years,"Runge et al 2020, pg.7, https://papers.ssrn.com/abstract=3623514",
LOHC dehydrogenation,FOM,2040,3.0,%/year,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",
LOHC dehydrogenation,investment,2040,759908.15,EUR/MW_H2,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",
LOHC dehydrogenation,lifetime,2040,20.0,years,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",
LOHC hydrogenation,FOM,2040,3.0,%/year,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",
LOHC hydrogenation,investment,2040,46471.24,EUR/MW_H2,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",
LOHC hydrogenation,lifetime,2040,20.0,years,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",
LOHC loaded DBT storage,FOM,2040,6.25,%/year,,
LOHC loaded DBT storage,investment,2040,149.27,EUR/t,"Density via Wissenschaftliche Dienste des Deutschen Bundestages 2020, https://www.bundestag.de/resource/blob/816048/454e182d5956d45a664da9eb85486f76/WD-8-058-20-pdf-data.pdf , pg. 11.",
LOHC loaded DBT storage,lifetime,2040,30.0,years,,
LOHC transport ship,FOM,2040,5.0,%/year,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",
LOHC transport ship,capacity,2040,75000.0,t_LOHC,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",
LOHC transport ship,investment,2040,31700578.34,EUR,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",
LOHC transport ship,lifetime,2040,15.0,years,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",
LOHC unloaded DBT storage,FOM,2040,6.25,%/year,,
LOHC unloaded DBT storage,investment,2040,132.26,EUR/t,"Density via Wissenschaftliche Dienste des Deutschen Bundestages 2020, https://www.bundestag.de/resource/blob/816048/454e182d5956d45a664da9eb85486f76/WD-8-058-20-pdf-data.pdf , pg. 11.",
LOHC unloaded DBT storage,lifetime,2040,30.0,years,,
MeOH transport ship,FOM,2040,5.0,%/year,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
MeOH transport ship,capacity,2040,75000.0,t_MeOH,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
MeOH transport ship,investment,2040,31700578.34,EUR,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
MeOH transport ship,lifetime,2040,15.0,years,"Assume comparable tanker as for LOHC transport above, c.f. Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514 .",
Methanol steam reforming,FOM,2040,4.0,%/year,"Niermann et al (2021): 10.1016/j.rser.2020.110171 , table 4.",
Methanol steam reforming,investment,2040,16318.43,EUR/MW_H2,"Niermann et al (2021): 10.1016/j.rser.2020.110171 , table 4.",
Methanol steam reforming,lifetime,2040,20.0,years,"Niermann et al (2021): 10.1016/j.rser.2020.110171 , table 4.",
NH3 (l) storage tank incl. liquefaction,FOM,2040,2.0,%/year,"Guesstimate, based on H2 (l) storage tank.",
NH3 (l) storage tank incl. liquefaction,investment,2040,161.93,EUR/MWh_NH3,"Calculated based on Morgan E. 2013: doi:10.7275/11KT-3F59 , Fig. 55, Fig 58.",
NH3 (l) storage tank incl. liquefaction,lifetime,2040,20.0,years,"Morgan E. 2013: doi:10.7275/11KT-3F59 , pg. 290",
NH3 (l) transport ship,FOM,2040,4.0,%/year,"Cihlar et al 2020 based on IEA 2019, Table 3-B",
NH3 (l) transport ship,capacity,2040,53000.0,t_NH3,"Cihlar et al 2020 based on IEA 2019, Table 3-B",
NH3 (l) transport ship,investment,2040,74461941.34,EUR,"Cihlar et al 2020 based on IEA 2019, Table 3-B",
NH3 (l) transport ship,lifetime,2040,20.0,years,"Guess estimated based on H2 (l) tanker, but more mature technology",
OCGT,FOM,2040,1.79,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",52 OCGT - Natural gas:  Fixed O&M
OCGT,VOM,2040,4.5,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",52 OCGT - Natural gas:  Variable O&M
OCGT,efficiency,2040,0.42,per unit,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","52 OCGT - Natural gas:  Electricity efficiency, annual average"
OCGT,investment,2040,423.54,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",52 OCGT - Natural gas:  Specific investment
OCGT,lifetime,2040,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",52 OCGT - Natural gas:  Technical lifetime
PHS,FOM,2040,1.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
PHS,efficiency,2040,0.75,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
PHS,investment,2040,2208.16,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
PHS,lifetime,2040,80.0,years,IEA2010, from old pypsa cost assumptions
SCGT,FOM,2040,3.39,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","04 Gas turb. simple cycle, L:  Fixed O&M"
SCGT,VOM,2040,4.1,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","04 Gas turb. simple cycle, L:  Variable O&M"
SCGT,c_b,2040,1.0,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","04 Gas turb. simple cycle, L:  Cb coefficient"
SCGT,efficiency,2040,0.42,per unit,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","04 Gas turb. simple cycle, L:  Electricity efficiency, annual average"
SCGT,investment,2040,540.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","04 Gas turb. simple cycle, L:  Nominal investment"
SCGT,lifetime,2040,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","04 Gas turb. simple cycle, L:  Technical lifetime"
SMR,FOM,2040,5.4,%/year,https://www.gov.uk/government/publications/hydrogen-supply-chain-evidence-base; slide 42 assumption for 2030, from old pypsa cost assumptions
SMR,efficiency,2040,0.74,per unit,https://www.gov.uk/government/publications/hydrogen-supply-chain-evidence-base; slide 42 assumption for 2030, from old pypsa cost assumptions
SMR,investment,2040,540.56,EUR/kWCH4,https://www.gov.uk/government/publications/hydrogen-supply-chain-evidence-base; slide 42 assumption for 2030; GBP 466 exchange 1.16, from old pypsa cost assumptions
SMR,lifetime,2040,25.0,years,TODO, from old pypsa cost assumptions
SMR CC,FOM,2040,5.4,%/year,https://www.gov.uk/government/publications/hydrogen-supply-chain-evidence-base; slide 42 assumption for 2030, from old pypsa cost assumptions
SMR CC,efficiency,2040,0.67,per unit,https://www.gov.uk/government/publications/hydrogen-supply-chain-evidence-base; slide 42 assumption for 2030; CC uses 10% of gas, from old pypsa cost assumptions
SMR CC,investment,2040,1032.0,EUR/kWCH4,https://www.gov.uk/government/publications/hydrogen-supply-chain-evidence-base; slide 42 assumption for 2030; GBP 466 exchange 1.16; CC costed at 300 EUR/tCO2/a, from old pypsa cost assumptions
SMR CC,lifetime,2040,25.0,years,TODO, from old pypsa cost assumptions
Steam methane reforming,FOM,2040,3.0,%/year,"International Energy Agency (2015): Technology Roadmap Hydrogen and Fuel Cells , table 15.",
Steam methane reforming,investment,2040,470085.47,EUR/MW_H2,"International Energy Agency (2015): Technology Roadmap Hydrogen and Fuel Cells , table 15.",
Steam methane reforming,lifetime,2040,30.0,years,"International Energy Agency (2015): Technology Roadmap Hydrogen and Fuel Cells , table 15.",
air separation unit,FOM,2040,4.0,%/year,"Estimate, based on methanation plant.",
air separation unit,investment,2040,10942205.1,EUR/MW,"Calculated based on Morgan E. 2013: doi:10.7275/11KT-3F59 , Fig. 56, Fig. 58, pg. 207, pg. 210.",
air separation unit,lifetime,2040,20.0,years,"Morgan E. 2013: doi:10.7275/11KT-3F59 , pg. 290",
battery inverter,FOM,2040,0.54,%/year,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Fixed O&M
battery inverter,efficiency,2040,0.96,per unit,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Round trip efficiency DC
battery inverter,investment,2040,100.0,EUR/kW,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Output capacity expansion cost investment
battery inverter,lifetime,2040,10.0,years,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx, Note K.",:  Technical lifetime
battery storage,investment,2040,94.0,EUR/kWh,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Energy storage expansion cost investment
battery storage,lifetime,2040,30.0,years,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Technical lifetime
biogas,fuel,2040,59.0,EUR/MWhth,JRC and Zappa, from old pypsa cost assumptions
biogas upgrading,FOM,2040,2.5,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","82 Biogas, upgrading:  Fixed O&M "
biogas upgrading,VOM,2040,3.43,EUR/MWh input,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","82 Biogas, upgrading:  Variable O&M"
biogas upgrading,investment,2040,362.0,EUR/kW input,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","82 Biogas, upgrading:  investment (upgrading, methane redution and grid injection)"
biogas upgrading,lifetime,2040,15.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx","82 Biogas, upgrading:  Technical lifetime"
biomass,FOM,2040,4.53,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
biomass,efficiency,2040,0.47,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
biomass,fuel,2040,7.0,EUR/MWhth,IEA2011b, from old pypsa cost assumptions
biomass,investment,2040,2209.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
biomass,lifetime,2040,30.0,years,ECF2010 in DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
biomass CHP,FOM,2040,3.56,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","09c Straw, Large, 40 degree:  Fixed O&M"
biomass CHP,VOM,2040,2.1,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","09c Straw, Large, 40 degree:  Variable O&M "
biomass CHP,c_b,2040,0.46,40°C/80°C,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","09c Straw, Large, 40 degree:  Cb coefficient"
biomass CHP,c_v,2040,1.0,40°C/80°C,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","09c Straw, Large, 40 degree:  Cv coefficient"
biomass CHP,efficiency,2040,0.3,per unit,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","09c Straw, Large, 40 degree:  Electricity efficiency, net, annual average"
biomass CHP,efficiency-heat,2040,0.71,per unit,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","09c Straw, Large, 40 degree:  Heat efficiency, net, annual average"
biomass CHP,investment,2040,3061.26,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","09c Straw, Large, 40 degree:  Nominal investment "
